
k-point 0:
----------------------------------------
n=0        -13.386445 +        0.000000i
n=1        -13.372974 +        0.000000i
n=2        -13.369935 +        0.000000i
n=3        -11.990018 +        0.000000i
n=4        -11.987866 +        0.000000i
n=5         -7.852650 +       -0.000000i
n=6         -7.856045 +       -0.000000i
n=7         -7.832218 +       -0.000000i
n=8         -7.840027 +        0.000000i
n=9         -7.898072 +       -0.000000i

k-point 1:
----------------------------------------
n=0        -12.249995 +        0.000000i
n=1        -12.843989 +        0.000000i
n=2        -12.846897 +        0.000000i
n=3        -12.193388 +       -0.000000i
n=4        -12.189317 +        0.000000i
n=5         -8.071551 +       -0.000000i
n=6         -8.074207 +       -0.000000i
n=7         -7.886637 +       -0.000000i
n=8         -7.885859 +       -0.000000i
n=9         -7.564537 +        0.000000i

k-point 2:
----------------------------------------
n=0        -12.249936 +        0.000000i
n=1        -12.846521 +        0.000000i
n=2        -12.854636 +        0.000000i
n=3        -12.194611 +        0.000000i
n=4        -12.192853 +        0.000000i
n=5         -8.071228 +       -0.000000i
n=6         -8.071396 +       -0.000000i
n=7         -7.889174 +        0.000000i
n=8         -7.886872 +        0.000000i
n=9         -7.559348 +        0.000000i

k-point 3:
----------------------------------------
n=0        -12.206894 +        0.000000i
n=1        -12.870865 +        0.000000i
n=2        -12.860764 +        0.000000i
n=3        -12.184313 +       -0.000000i
n=4        -12.184167 +       -0.000000i
n=5         -8.071162 +        0.000000i
n=6         -8.072288 +        0.000000i
n=7         -7.888905 +        0.000000i
n=8         -7.886907 +        0.000000i
n=9         -7.573510 +       -0.000000i

k-point 4:
----------------------------------------
n=0        -12.141443 +        0.000000i
n=1        -12.863771 +        0.000000i
n=2        -12.852652 +        0.000000i
n=3        -12.625849 +       -0.000000i
n=4        -12.551001 +       -0.000000i
n=5         -8.391461 +        0.000000i
n=6         -8.385010 +        0.000000i
n=7         -7.189969 +       -0.000000i
n=8         -7.196889 +        0.000000i
n=9         -8.454272 +       -0.000000i

k-point 5:
----------------------------------------
n=0        -12.289805 +        0.000000i
n=1        -12.901349 +        0.000000i
n=2        -12.901477 +        0.000000i
n=3        -12.173992 +       -0.000000i
n=4        -12.165100 +       -0.000000i
n=5         -8.076422 +        0.000000i
n=6         -8.073423 +        0.000000i
n=7         -7.891258 +        0.000000i
n=8         -7.897055 +        0.000000i
n=9         -7.568332 +        0.000000i

k-point 6:
----------------------------------------
n=0        -12.222842 +        0.000000i
n=1        -12.897296 +        0.000000i
n=2        -12.893526 +        0.000000i
n=3        -12.193225 +       -0.000000i
n=4        -12.183358 +       -0.000000i
n=5         -8.080807 +        0.000000i
n=6         -8.081911 +        0.000000i
n=7         -7.894798 +        0.000000i
n=8         -7.892493 +        0.000000i
n=9         -7.577520 +       -0.000000i

k-point 7:
----------------------------------------
n=0        -12.300651 +        0.000000i
n=1        -12.888845 +        0.000000i
n=2        -12.892326 +        0.000000i
n=3        -12.167471 +       -0.000000i
n=4        -12.165945 +       -0.000000i
n=5         -8.071351 +        0.000000i
n=6         -8.069962 +        0.000000i
n=7         -7.878035 +        0.000000i
n=8         -7.882522 +        0.000000i
n=9         -7.570699 +        0.000000i

k-point 8:
----------------------------------------
n=0        -12.146849 +        0.000000i
n=1        -12.866540 +        0.000000i
n=2        -12.855923 +        0.000000i
n=3        -12.602871 +       -0.000000i
n=4        -12.522192 +       -0.000000i
n=5         -8.399811 +        0.000000i
n=6         -8.395072 +        0.000000i
n=7         -7.187618 +        0.000000i
n=8         -7.197997 +        0.000000i
n=9         -8.427224 +       -0.000000i
